name,line
'\u1cbc\u1cbc',yeah but I didn't prestudy math so I will stop getting good grades if I skip 
'\u1cbc\u1cbc',DANIEL WTMOO
'\u1cbc\u1cbc',cuz u said this right before 
'\u1cbc\u1cbc',i thought that u skipped school every wk
'\u1cbc\u1cbc',OO
anonymous,it was legit appointments 
'\u1cbc\u1cbc',truuu
anonymous,like i had an appointment every week at one point and they didnt check or care at all
anonymous,tbh just sleep and make up a dr appt and get ur parents to email/[retend to be ur parents and email
anonymous,wtmoo dandan 
'\u1cbc\u1cbc',source:
'\u1cbc\u1cbc',apparently u get 4 absensces every semester
'\u1cbc\u1cbc',and u have a good grade in math prob
'\u1cbc\u1cbc',ur health>>>>>>> math class
anonymous,basically relaxing before u sleep because lying in bed always makes me more awake lmao
anonymous,bc if im thinking abt stuff i will not be falling asleep soon
anonymous,and also smth like j 5-10 min before bed to calm down
anonymous,like within the same hour ish every day
anonymous,ive figured that i need a regular sleep schedule to sleep well
anonymous,And that'll make me tired earlier the following nighf
anonymous,As in I'll wake up super early
anonymous,I can more or less sleep deprive myself for a night and then I'm back on track for normal sleep
anonymous,Maybe your sleep schedule doesnt work like mine
anonymous,Hold on
anonymous,Well
anonymous,But honestly
anonymous,I mean exercise is the best thing
anonymous,xbbdshjss yeahahahah melatonin is prolly a good idea
anonymous,tea bee aych starting to sound like a good idea
anonymous,so I don't think it's that
anonymous,I went to bed at midnight and didn't fall asleep until 2:30
anonymous,i mean
anonymous,You wanna correct ur sleep schedule, like get tired and sleep a couple hours earlier?
anonymous,Dyu go to sleep too late?
anonymous,don't have time in the afternoons either 
anonymous,I usually can fall asleep within 20 minutes so uhhh
anonymous,But it also works the opposite way like if u dint sleep well its gonna be hard to exercise
anonymous,Ye its like a flywheel, the more u exercise the easier it is to fall asleep, and the better you sleep the easier it is to exercise
anonymous,Um exercise is super good for being able to fall asleep
anonymous,Melatonin supplements?
anonymous,Diana :((
anonymous,can i just skip 5th pd pls
anonymous,i want to fall asleep for years until i no longer have an unhealthy sleeping schedule
anonymous,how do I sleep better
anonymous,https://open.spotify.com/track/7u6DMPznGbpziuEgCE0JGQ?si=ncs9BjwdS267T5yM8wyqXQ&utm_source=copy-link
anonymous,But ok
anonymous,I wouldn't
anonymous,i hate it when i feel a sneeze coming then it j disapears id rather get an f on a test than this >:(
anonymous,Ty ty
anonymous,Ily allll
'\u1cbc\u1cbc',staying single is valid 
anonymous,Just give urself time to figure urself out :D
anonymous,And like diff ppl have diff wants and needs so it's perfectly okay to not know just yet!
anonymous,So it often takes time figuring out what u truly want
anonymous,Like ik i personally used to glorify the idea of a relationship in my head but then realized it wasn't what *i* want and that's okay
anonymous,And that's v valid
anonymous,Ik i say stuff like i want a bf very often, but ik personally that i don't actually want a relationship and that I'm not ready to be emotionally committed to anyone
anonymous,^^
anonymous,ilyyyy
anonymous,you dont have to be ready for a relationship rn; its okay j to take sometimes figuring yourself out xbsbshsh
anonymous,dw allison you are so valid
anonymous,Someone teach me to be emotionally available because it’s actually so bad
anonymous,I always complain about being horrendously single but I’m thinking that I’m not ready to mingle, maybe I am but maybe I’m not cause tbh, I don’t think I’m emotionally available enough
anonymous,Big, adults are lemon think with technology
'\u1cbc\u1cbc',gnn!
anonymous,Gn yall!
anonymous,Huh
anonymous,what led to this change
anonymous,I want to know how big of a problem email the wrong person was
anonymous,all students got "Student - " prefixed before their name on fcps gmail
anonymous,But idk if they're good
anonymous,Vibes
anonymous,Eating Cadbury at 3 for no reason whatsoever letting my day waste away
'\u1cbc\u1cbc',gnnn smhh
anonymous,Gn yall
anonymous,Good nobody's awake
anonymous,:"D
anonymous,So uh
anonymous,I wear size 10.5 men's nikes
anonymous,But also
anonymous,LMFAO I'M P SURE SHE OFFERED
anonymous,Ask julia tbh
'\u1cbc\u1cbc',valid
anonymous,(I'm watching Chrissy chlapecka and feeling like a bimbo rn)
anonymous,THAT would be sexy
anonymous,And my corduroy overshirt
anonymous,My black t-shirt with white stripes
anonymous,Ripped jeans
anonymous,5+ chains on
anonymous,2 inch platforms
anonymous,3 inch high hair
anonymous,Walking around tj
anonymous,Like imagine me
anonymous,Ykwim?
anonymous,For when I'm wearing 5 diff chains
anonymous,Like the in your face 2+ inches kind
anonymous,And not like the basic kind
anonymous,I need platforms rn
anonymous,UR AS SWEET AS CINNAMON
anonymous,WTMOO
anonymous,IM SORRY
anonymous,BETRAYED
anonymous,IVE NEVER FELT SO
anonymous,NO BC WTF!!
anonymous,SKDHSVDHSBS
anonymous,CIERRA UR DONE UR DONE
anonymous,LMFAOOOOO
anonymous,SLDAHDBHSSB
anonymous,BITCH
anonymous,THIS BETRAYAL
anonymous,WITHOUT ME???
anonymous,MMMM
anonymous,AND DAN AND BLAIR ARE SO GOOD TOGETHER
anonymous,escaprilling
anonymous,YAY
anonymous,BRO ME AND riva have been
anonymous,WAIT LOWK IVE BEEN WATCHING GOSSIP GIRL STUFF
anonymous,cottagecore reminds me of folklore mmm
anonymous,LMAOOO
anonymous,@urgota
anonymous,ILL SHOW U GUYS
anonymous,IF I WRITE NAYTHING FOR ESCAPRIL
anonymous,cottagecore is such a vibe tbh
anonymous,GAY
anonymous,HELP
anonymous,when will you show us tbh
anonymous,LMAO
anonymous,LMFAO WHAT
anonymous,cottagecore sapphics
anonymous,cavecore?
anonymous,omg
anonymous,no no no like cottagecore lesbians
anonymous,wtf is happening here
anonymous,cierra do u want to be gay *with* me
anonymous,ooga booga nuclear family
anonymous,are you?
anonymous,???
anonymous,im gay
anonymous,ok
anonymous,KFSDHFJSDHFJSADHF
anonymous,foraging tho
anonymous,flowers are gay
anonymous,LKFDJSFLKDS
anonymous,???
anonymous,that's gay
anonymous,gay
anonymous,thats
anonymous,??
anonymous,flowers
anonymous,omG
anonymous,no i j like
anonymous,syrup
anonymous,like the violet thing
anonymous,oh
anonymous,violet
anonymous,oh
anonymous,what
anonymous,huh
anonymous,cierra runs a flowershop?
anonymous,oh
anonymous,im not cringy 
anonymous,not @ ishara
anonymous,@ cierra
anonymous,wait
anonymous,never
anonymous,wtmoo
anonymous,yo wait are you acting out ur fanfic irl for inspo
anonymous,and bake me a cake?
anonymous,bring me flowers?
anonymous,.
anonymous,omg
anonymous,like no progress tho
anonymous,can we re-enact ur fanfic irl 
anonymous,jeanlisa?
anonymous,i am writing flower shop au
anonymous,REGRETTING IT
anonymous,NO I TOLD DIANA AB THIS FIC I READ
anonymous,LMAOO
anonymous,wtmoo
anonymous,DIANA SKJFKJSJFAJSF
anonymous,i write embarrassingly cheesy stuff 
anonymous,ftw
anonymous,voldemort x voldemort
anonymous,nah
anonymous,when will I write the web crawler
anonymous,only about ur mother dw
anonymous,...
anonymous,LMFAO
anonymous,ok ishara
anonymous,u write smut
anonymous,is this why u dont want us to find ur fanfic
anonymous,nah wtmoo this is a christian minecraft server
anonymous,sure
anonymous,get into the details
anonymous,do you want me to
anonymous,um
anonymous,how hard is really hard
anonymous,oh
anonymous,u dont need webtoon if you're making out irl
anonymous,i love ishara sm
anonymous,no like
anonymous,yeah
anonymous,i love cierra sm
anonymous,other hobbies that I don't do competitively
anonymous,want to make out
anonymous,cierra omg
anonymous,no more webtoons
anonymous,nonono thats the opposite of what we want
anonymous,LMFAO I LOVE HOW U SPECIFIED
anonymous,like
anonymous,it helps me to branch out and do other things?
anonymous,ok
anonymous,really hard
anonymous,then railed her
anonymous,idk but i walked into ur moms bed last night
anonymous,webtoon but irl
anonymous,my thoughts exactly
anonymous,what did I walk in to
anonymous,progress is progress(?)
anonymous,don't think it'll help me get a life but
anonymous,omg
anonymous,i agree!
anonymous,right?
anonymous,sounds super fun and exciting
anonymous,ikr?
anonymous,omg
anonymous,group make out
anonymous,we could like
anonymous,wtmoo
anonymous,oh
anonymous,she was supposed to make out with me too tho
anonymous,unlucky 
anonymous,o ok
anonymous,this is true
anonymous,yeah
anonymous,oh
anonymous,so like
anonymous,but u aren't
anonymous,ik
anonymous,you're gay
anonymous,kai
anonymous,wanna make out?
anonymous,i have an idea
anonymous,eeeeeeeee
anonymous,oop
anonymous,tee bee aitch
anonymous,maybe i just need to get a life and then all of my problems would be solved
anonymous,it's so funny when ur watchiing a movie and the dialogue is just exposition
'\u1cbc\u1cbc',omg hff! same tho^
anonymous,Ilyyyy
anonymous,yeah!! ty ily
anonymous,I met u here (kinda)!!! 
anonymous,Enjoy vaca!!!
anonymous,Omggg hiiii8
anonymous,i havent been v active since on vaca but like yeah glad i met a lot of u guys here
'\u1cbc\u1cbc',love you too 
'\u1cbc\u1cbc',so truuuuu
'\u1cbc\u1cbc',thats truuuu
anonymous,i love u guys 
anonymous,some of which, would not know each other w/o it
anonymous,Diana i love u
anonymous,the thing I love about stonks is that it brings together so many ppl
anonymous,Splitting the body and soul ig
anonymous,how
anonymous,A movie about a person who dies, but becomes both a ghost and a zombie
'\u1cbc\u1cbc',LMFAOOOOOOOOO
'\u1cbc\u1cbc',EXACLTY
anonymous,FMKSFJNDSLFKMSD
anonymous,"PHONETTE"
anonymous,"NOW WHAT\'S THIS"
'\u1cbc\u1cbc',but in realisty she was wrong, its a phonette
anonymous,"PHONE"
anonymous,SHE WAS LIKE "WHAT IS THIS"
'\u1cbc\u1cbc',O LMAOOOOO
'\u1cbc\u1cbc',and then she asked what the second peeice of paper was, and she answered paper
anonymous,NO IT WAS A PHONE
'\u1cbc\u1cbc',bascially there were two objects (im p sure they were sheets of paper) and then sriya asked dinaa what the first paper was and diana answered paper
anonymous,Yo wat
anonymous,LMFAO
anonymous,Smelling good or bad = female or male
anonymous,pink and blue soap
anonymous,Even soap has genders
anonymous,Nah bc like
anonymous,LMAO
anonymous,Nah fr
anonymous,and its dictated by the hair lengthr and clothes they wear
anonymous,im j surprised that even fairies have genders
anonymous,@peter_pan
anonymous,Bro :((
anonymous,how do i break the cycle
anonymous,2 hr nap at 4pm for the past 2 days 
anonymous,bro my sleep schedule is so fucked
anonymous,ok
anonymous,man fairy
anonymous,wait thats a
anonymous,NP SEASEA I LOVE SM TOO
anonymous,THANKS ISHISH I LOVE U SM
anonymous,thats bc ur too irrelevant for the tooth fairy to care ab!
anonymous,i went to bed at 4:30 and still have teeth??
anonymous,ok
anonymous,and everyone will call u grandpa ian
anonymous,and ull need to get dentures
anonymous,or else the tooth fairy will come by and yank out all ur teeth
anonymous,go to bed at 10 tnite
anonymous,but like breaks the only time when i can get a healthy amount of sleep + i have a hard time sleeping in usually
anonymous,you can wake up later bc break ezpz
anonymous,^^
anonymous,u can sleep whenever u want cuz its break
anonymous,???
anonymous,why tf am i going to sleep on midnight its fucking break i need to sleep earlier
anonymous,aaaaa wtmoo
anonymous,erm
anonymous,i
'\u1cbc\u1cbc',HFFFFFFFFFFFFFFFFF
'\u1cbc\u1cbc',:OOOO
'\u1cbc\u1cbc',dhruv always awake
'\u1cbc\u1cbc',where u going 
anonymous,Bruh
anonymous,lmao i stayed up super late watching naruto
anonymous,I'm a victim ig
anonymous,And sometimes they find me attractive even tho I'm underage
anonymous,Sometimes they think I'm a bomb threat because I have a water bottle
anonymous,It's hella toxic
anonymous,W
anonymous,W h abt
anonymous,Tsa and I have an interesting relationship fs
anonymous,Ikr
anonymous,???
anonymous,wtf
anonymous,Smh
anonymous,Why is dhruv up
anonymous,Also
anonymous,Why sm strange experiences
anonymous,Tfw tsa agent sweet talks you thinking you're 20
'\u1cbc\u1cbc',:OOOO this is v cool and ez to understnad
anonymous,:00
anonymous,this is actually really cool and pretty easy to understand
anonymous,https://www.youtube.com/watch?v=Ekcseve-mOg
'\u1cbc\u1cbc',kai illyyy
anonymous,Daniel ily
'\u1cbc\u1cbc',but edge is still supeior
'\u1cbc\u1cbc',v cool
'\u1cbc\u1cbc',:OOO
'\u1cbc\u1cbc',TY ALL FOR EXISTSING
anonymous,Woahhh
anonymous,zoo wee mama
anonymous,waow
anonymous,huhhh
anonymous,this is really cool
anonymous,https://www.techradar.com/news/google-chrome-is-about-to-hit-version-100-so-we-use-version-1-in-windows-11
anonymous,Awww no u
anonymous,LITERALLY grateful for all of u
anonymous,thanks for existing guys
anonymous,FRRR
anonymous,NGL
anonymous,IT'S SUCH A CUTE PIC
anonymous,this is one of my fav pics rn fr
anonymous,Based
anonymous,bodega is such a fun word to say 
'\u1cbc\u1cbc',dominao effect 
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L
anonymous,im the bad one
anonymous,wtmoo
anonymous,i did ?
anonymous,wtmoo
anonymous,u should check fb tbh
anonymous,ok cierra min!
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L
anonymous,ok ishara shanmugasundaram!!
anonymous,uh
anonymous,i should stop talking!
anonymous,idk
anonymous,but in a good way
anonymous,chalk
anonymous,it tastes like
anonymous,this is kinda lemonthink but i really like the taste of benadryl pills 
anonymous,but it comes from greek not latin
anonymous,well not rlly
anonymous,also why octopus is octopuses not octopi
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L bad skill issue
anonymous,so the pl in latin is status
anonymous,status comes from 4th declension
anonymous,stati
anonymous,you're right
anonymous,ahahaa
anonymous,wait fuck
anonymous,Where is the second i comming from
anonymous,stratusphere
anonymous,stratus
anonymous,i will not take any arguments on this
anonymous,the plural of status should be statii
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,L
anonymous,What a loser
anonymous,Wow okay 
anonymous,Imy :((
anonymous,Badass
'\u1cbc\u1cbc',i htink this looks good on u
anonymous,Clothing with roses is just dope
anonymous,it is indeed
anonymous,That's a vibe
anonymous,my favorite shirt has flowers and flamingos on it lmao
anonymous,Definitely gonna get someone killed
anonymous,looks like a persian rug
anonymous,flowers are cool
anonymous,Crip hoodie
anonymous,Also at the same store
anonymous,I think it's dope
anonymous,Sure there's flowers but does that really make it feminine? Idk the idea that flowers make smth instantly feminine kinda 
anonymous,GG 
anonymous,not rlly
anonymous,Like
anonymous,Is it even feminine?
anonymous,Question is tho
anonymous,femininity>>>>>
anonymous,Lmfao
anonymous,XD yeah ur gonna wear it anyway it doesnt matter what they think
anonymous,Roses are cool
anonymous,oooo prettyyyy
anonymous,But say it's my choice so whatever
anonymous,And don't really vibe with it
anonymous,My parents think its feminine
anonymous,Good try
anonymous,No
anonymous,i like
anonymous,but anyway looks pretty!
anonymous,face
anonymous,Nvm lol
anonymous,?
anonymous,yea wear it
anonymous,I see what you did there
anonymous,and send pic
anonymous,wear it
anonymous,Thoughts on this hoodie my parents aren't fans lmfao
anonymous,https://open.spotify.com/track/46ic4LPe9aMMdjnTNo2l96?si=Z76VPzw5Tjy5i5qDbH_fBA&utm_source=copy-link
'\u1cbc\u1cbc',is it interesting
'\u1cbc\u1cbc',should i read p2
'\u1cbc\u1cbc',OMGGG PROOOO
anonymous,We love to see it
anonymous,Lmaooo
anonymous,"after you\'re done abusing the cookies"
anonymous,THIS IS SO TRUE
anonymous,thats a very band room thing to do
anonymous,LMAOO BAND
anonymous,MAKFSALFA LMFAO THE SUBS ARE SO FUNNY SOMETIMES THO
anonymous,GG 
anonymous,YESSS
anonymous,wtf ive never heard of this
anonymous,Gold mine but sometimes lies about number of ingredients, still v enjoyable
anonymous,THIS IS VALID
anonymous,MAKING A KNIFE OUT OF ICE OR SMTHN
anonymous,LIKE
anonymous,AND WATCHING THE KNIFE ASMR
anonymous,AND I WAS GETTING FLASHBACKS TO DOING THIS
anonymous,XD
anonymous,WE WOULD JUST HAVE THIS ON AT FULL VOLUME IN THE BAND ROOm
anonymous,MY YOUTUBE RECOMMEND STARTED POPPING UP W THIS AGAIN
anonymous,YEAH
anonymous,NO OVEN CAKE ASMR
anonymous,8TH GRADE FLASBACKS
anonymous,these videos make me so calm and happy
anonymous,literally the best thing ever
anonymous,https://www.youtube.com/c/NinosHome this channel is a gold mine
anonymous,isn't he in twilight
anonymous,l8r
anonymous,Omg?
anonymous,2nd best batman after christian bale
anonymous,can confirm
anonymous,i just watched the movie
anonymous,zaddy fr
anonymous,robert pattison is so hot as batman
anonymous,jk send pics
anonymous,no u didnt
anonymous,i got a haircut
anonymous,:(
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,you're invalid L
anonymous,(-x)²
anonymous,No like
anonymous,-x² is negative tho
anonymous,THIS IS WHY NEGATIVES WORK THE WAY THEY DO
anonymous,YESSIR
anonymous,-my mother
anonymous,Two wrongs don't make a right, but three wrongs do
anonymous,A++
anonymous,ac black flag shanties are such a vibe
anonymous,BRUH STFU
anonymous,THATS SAD FOR U
anonymous,I GOT YO MOMMA
anonymous,THIS IS WHY U DONT GET BITCHES
anonymous,FUCK U
anonymous,UR LITERALLY SO INVALID
anonymous,legit the worst chips ive ever had
anonymous,nah i ate it by itself for the first time
anonymous,UR LEGITIMATE GARBAGE
anonymous,bruh these are legitimate garbage
anonymous,No
anonymous,.
anonymous,https://youtu.be/jMvEOmpy8Kw
anonymous,didn't finish watching yet but this is actually super cool https://youtu.be/dvI7dGXFgm8
'\u1cbc\u1cbc',im considering liking all posts that appear on my feed
'\u1cbc\u1cbc',revial of the king!
anonymous,Yooo hes alive
anonymous,Yes
anonymous,What happened
anonymous,I was summoned
anonymous,See what he's got
anonymous,I wanna throw with him tbh
anonymous,Issok rishabh I gotchu
anonymous,Damn flamed
anonymous,Wait is rishabh ever active
anonymous,Issok
anonymous,ok ishara shanmugasundaram
anonymous,tf
anonymous,but we don't have the time in this economy
anonymous,like ik in facs they told us not to eat while standing
anonymous,sounds like ur mum tbh
anonymous,and leave the liquid behind
anonymous,and they stain easily
anonymous,water
anonymous,still have
anonymous,they
anonymous,I do get the cubes
anonymous,I forgot how much I loved it
anonymous,Unrelated but baseball is sm fun
anonymous,Cute
anonymous,I like how you still love to think about how smooth that was
anonymous,I was so confused but it was funny
anonymous,2 pieces
anonymous,So
anonymous,Ive had it in since dinner
anonymous,Actuallt
anonymous,I have that good baseball bubble gum in my mouth rn
anonymous,they aren't as good imo for some inexplainable reason but still
anonymous,but also if you don't like mess just get the cubes
anonymous,it's not water you fool
anonymous,it does have water in the name!
anonymous,liquid
anonymous,just
anonymous,basically
anonymous,RIGHT
anonymous,literally
anonymous,is
anonymous,watermelon
anonymous,She's smooth tbh
anonymous,I like my snacks grab-n-go
anonymous,be clean
anonymous,MOOD
anonymous,it gets messy easily
anonymous,like
anonymous,no
anonymous,lmfao
anonymous,if u eat enough it does
anonymous,Braces kinda fucked it up but I have a really prominent jawline cuz of how much gum I chew
anonymous,that's why tangerines are my go-to
anonymous,but watermelon doesn't work well as a snack
anonymous,so true
anonymous,grapes and watermelon so fucking good mmm
anonymous,Same
anonymous,annika resend
anonymous,lmfaoo
anonymous,ok
anonymous,ok
anonymous,to u !!
anonymous,ok
anonymous,wait
anonymous,thats what she said
anonymous,was too fast
anonymous,what
anonymous,so i just chew a bunch of gum
anonymous,or chew
anonymous,and i just like to eat
anonymous,u see i just have a sweet tooth
anonymous,except for grapes and watermelon
anonymous,im srry i need carbs or smth savory to actually feel unhungry
anonymous,yeah
anonymous,fruit is v good but its also not a snack
anonymous,its like
anonymous,stfu
anonymous,yes but also no
anonymous,idk tangerines come from grass
anonymous,tangerine = grass therefore touching it
anonymous,I am dehydrated 24/7 + don't have water + need to touch grass
anonymous,fruit the best snack tbh
anonymous,have had many tangerines in my life + usually i am very hungry when i snack + literally drink water??
anonymous,wait actually same
anonymous,relate to it !!
anonymous,understandable but unrelatable !!
anonymous,chips dry your mouth out
anonymous,like
anonymous,ok but
anonymous,unrelatable
anonymous,I would go w the tangerine
anonymous,ok tbh if I had to pick a snack between chips and a tangerine
anonymous,healthy??? but also annoying
anonymous,veggies so good
anonymous,fruits so good
anonymous,which is like
anonymous,:o
anonymous,I just prefer less flavor
anonymous,i am the most sensitive to grease in my family
anonymous,like I got one after dinner today and had to lay down
anonymous,while I eat food I am ok but I often get a stomachache after
anonymous,o
anonymous,it's my stomach
anonymous,its meh
anonymous,mine don't either tho
anonymous,it's not my taste buds
anonymous,idk
anonymous,y not :(
anonymous,okay but also your taste buds are surprisingly sensitive
anonymous,or any type of chip tbh
anonymous,my parents dont buy spam
anonymous,do y'all know the baked chips
